player_name, team, position, games_played, goals, assists, points, plus_minus, power_play_goals, shorthanded_goals, shorthanded_points, game_winning_goals, overtime_goals, shots, time_on_ice, shifts_per_game, faceoff_winning_percentage
Anton Slepyshev, EDM, L, 41,4,6,10,5,4,0.24,0,0,0,0,0,0,55,7.3,11:06,15.5,40.0
Nikolaj Ehlers,WPG,L,82,25,39,64,1,38,0.78,5,12,0,0,4,0,204,12.3,17:29,22.5,0.0
Brock McGinn, CAR,L,57,7,9,16,-11,6,0.28,0,0,0,1,1,0,74,9.5,11:59,17.8,25.0
Paul Byron,MTL,L,81,22,21,43,21,29,0.53,0,4,1,1,6,1,96,22.9,15:04,22.8,66.7
Tyler Bertuzzi,DET,L,7,0,0,0,-1,0,0.00,0,0,0,0,0,0,3,0.0,09:06,12.9,50.0
Tanner Pearson,LAK,L,80,24,20,44,5,13,0.55,3,8,1,2,5,2,187,12.8,16:19,22.3,41.7
Matthew Tkachuk,CGY,L,76,13,35,48,14,105,0.63,3,13,0,0,2,0,142,9.2,14:39,19.3,34.8
Tomas Nosek,DET,L,11,1,0,1,-1,2,0.09,0,0,0,0,0,0,19,5.3,10:07,14.7,54.4
Nikolay Kulemin,NYI,L,72,12,11,23,3,18,0.32,1,2,1,2,4,0,74,16.2,13:49,20.4,51.8
Shawn Matthias,WPG,L,45,8,4,12,0,13,0.27,0,0,1,1,1,0,51,15.7,13:33,19.6,31.3
Peter Cehlarik,BOS,L,11,0,2,2,0,0,0.18,0,1,0,0,0,0,8,0.0,13:54,17.9,66.7
Carl Hagelin,PIT,L,61,6,16,22,10,16,0.36,0,0,0,1,2,0,128,4.7,15:29,21.9,50.0
Jussi Jokinen,FLA,L,69,11,17,28,-15,39,0.41,4,10,1,1,2,0,118,9.3,17:24,23.2,52.1
Cody McLeod,COL,L,59,5,1,6,-3,145,0.10,0,0,0,0,0,0,30,16.7,07:09,11.2,0.0
John Hayden,CHI,L,12,1,3,4,3,4,0.33,0,0,0,0,0,0,22,4.5,11:41,17.3,0.0
Patrick Maroon,EDM,L,81,27,15,42,13,95,0.52,3,6,0,0,5,0,178,15.2,16:44,21.2,40.0
Lauri Korpikoski,DAL,L,69,8,12,20,5,10,0.29,0,0,0,1,0,0,108,7.4,12:24,19.2,0.0
Alexandre Burrows,VAN,L,75,15,16,31,3,62,0.41,1,1,0,1,2,0,143,10.5,14:38,21.2,35.7
Alex Killorn,TBL,L,81,19,17,36,-9,66,0.44,4,10,1,2,4,0,176,10.8,18:00,22.6,33.3
Drew Miller,DET,L,55,5,2,7,-12,18,0.13,0,0,0,0,1,0,43,11.6,10:16,15.2,66.7
Artturi Lehkonen,MTL,L,73,18,10,28,-1,8,0.38,2,4,1,1,3,0,158,11.4,13:51,20.4,50.0
Kyle Clifford,LAK,L,73,6,6,12,-2,92,0.16,0,0,0,0,0,0,122,4.9,10:43,15.1,40.0
Brendan Perlini,ARI,L,57,14,7,21,-4,20,0.37,3,5,0,0,2,0,92,15.2,14:50,18.1,50.0
Lawson Crouse,ARI,L,72,5,7,12,-20,48,0.17,0,0,1,1,2,0,84,5.9,11:53,16.8,50.0
Pontus Aber,NSH,L,15,1,1,2,-2,4,0.13,0,0,0,0,0,0,12,8.3,12:20,17.1,100.0